Name;Jahr;Listenplatz;Partei;Wahlkreis;Bundesland
Bierwirth, Petra;2009;2;1;59;6
Bietmann, Prof. Dr. Rolf;2009;49;2;95;9
Bigus, Joachim;2009;6;6;38;4
Binder, Karin;2009;3;6;272;15
Binder, Martin;2009;16;2;;13
Binding, Lothar;2009;21;1;275;15
Binninger, Clemens;2009;;2;261;15
Birk, Angelika;2009;7;4;11;1
Birke, Holger;2009;8;15;;15
Birkwald, Matthias W.;2009;12;6;95;9
Bisky, Prof. Lothar;2009;1;6;63;6
Bismarck Graf von, Carl-Eduard;2009;7;2;10;1
Bittel, Günther Wolfgang;2009;21;22;;9
Bittner, Ralf;2009;63;1;;9
Bittscheidt, Dr. Dorothee;2009;4;1;;3
Bix, Jochen;2009;6;20;77;8
Blacha, Martin;2009;58;2;;15
Blank, Kurt-Jürgen;2009;;9;258;14
Blank, Renate;2009;12;3;246;14
Blank, Siegfried;2009;50;3;;14
Blanke, Ferdinand;2009;;4;129;9
Blaßkiewitz, Helmuth;2009;;32;155;10
Blattner, Cornelia;2009;22;2;;10
Blatzheim-Roegler, Jutta;2009;5;4;202;13
Blaum, Dr. Ursula;2009;24;5;;11
Bleichert, Carl Otto;2009;18;6;;4
Bleser, Peter;2009;4;2;202;13
Blome, Frank;2009;8;9;47;4
Blömeke, Christiane;2009;;4;23;3
Bluhm, Heidrun;2009;3;6;;2
Blum, Claudia;2009;16;1;176;11
Blumenstiel, Rudi;2009;;12;210;13
Blumenthal, Antje;2009;3;2;19;3
Blumenthal, Sebastian;2009;3;5;5;1
Blumentritt, Volker;2009;7;1;195;12
Blumör, Kurt;2009;7;15;243;14
Blunk, Dr. Michaela;2009;5;5;11;1
Boback-Askri, Ute;2009;2;1;16;2
Bobbenkamp, Dr. Rolf;2009;24;15;;9
Boberg, Marc-Dominic;2009;;4;251;14
Böck, Dr. Gerhard;2009;59;3;;14
Bockhahn, Steffen;2009;;6;14;2
Bodewig, Kurt;2009;13;1;109;9
Bodirsky, Christopher;2009;;4;41;4
Boes, Stefan;2009;;4;219;14
Böhm, Ralph;2009;;9;181;11
Böhmer, Prof. Dr. Maria;2009;2;2;209;13
Bohn, Dr. Jürgen;2009;;5;191;12
Bohrer, Hartmut;2009;;6;180;11
Boje, Anita;2009;9;4;;1
Bok, Karl-Heinz;2009;15;14;;15
Bollen, Clemens;2009;11;1;26;4
Bollmann, Gerd;2009;;1;142;9
Bollwig, Lothar;2009;3;18;99;9
Bolwig, Nils;2009;17;1;;1
Bonde, Alexander;2009;4;4;284;15
Bonesky, Ulla Annemarie;2009;15;6;;10
Bonew, Torsten;2009;24;2;;10
Borcherding, Jutta;2009;8;11;267;15
Borchert, Johann-Joachim;2009;26;2;123;9
Bordin, Norman;2009;10;9;223;14
Borger, Klaus;2009;1;4;297;16
Borgers, Ralf;2009;;4;127;9
Borgmeier, Reinhard;2009;20;6;138;9
Borgwardt, Peter;2009;1;22;;7
Borgwardt, Sonja Angela;2009;24;22;142;9
Borkmann, Axel;2009;;9;285;15
Born, Helmut;2009;;6;107;9
Born, Thomas;2009;8;15;;9
Börnsen, Wolfgang;2009;1;2;1;1
Borretty, Ingrid;2009;17;4;;11
Börs, Peter;2009;7;9;56;6
Bortlisz-Dickhoff, Johannes;2009;;4;92;9
Bosbach, Wolfgang;2009;2;2;101;9
Bösing, Monika;2009;62;1;;9
Bosold, Hans-Joachim;2009;;9;176;11
Bothe, Martin;2009;5;10;;4
