Wkr.-Nr.;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
159;33172;68426;0;5798;12042;32651;0;0;12966;0;0;0;0;0;2073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160;50320;57931;0;6158;7367;30117;0;0;3776;0;0;0;0;0;939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
161;42670;57180;0;12601;12521;32050;0;0;7214;0;0;0;0;0;1981;0;0;0;0;0;0;524;0;0;0;0;506;0;0;0;0;0
162;36727;66965;0;3992;14380;37394;0;0;10081;0;0;0;0;0;1510;0;0;0;0;0;0;0;0;0;0;0;0;0;523;0;929;0
163;44240;43711;0;5882;10781;41369;0;3093;4582;0;0;0;0;0;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
164;37869;61734;0;3611;9548;34999;0;1540;8198;0;0;0;0;0;582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
165;36910;74778;0;3799;19446;40790;0;0;12769;0;0;3293;0;0;1700;0;0;0;0;0;0;0;0;0;0;0;0;0;116;0;585;0
166;44886;60281;0;4290;9751;44680;0;1267;6413;0;0;1563;0;0;1294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
167;41200;58988;0;5684;10685;36462;0;0;7808;0;0;2578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168;75533;51807;0;6734;7112;7104;0;0;2096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
169;85117;51470;0;13119;6619;9718;0;0;1884;0;0;0;0;0;0;0;0;0;0;0;0;480;0;0;0;0;0;0;0;0;0;0
170;75269;49882;0;4283;5699;6514;0;0;2402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1467;0
171;76040;51474;0;6776;7328;7402;0;0;2608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
172;67136;51653;0;5685;5423;6826;0;1858;1517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1102
173;66250;63801;0;6959;7130;7321;0;0;3648;0;0;2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
174;73793;64468;0;8976;12205;8081;0;0;2870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
175;54765;72048;0;5238;5653;4989;0;0;1967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39545
176;51838;65756;0;7409;13207;5614;0;0;1925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
177;80828;78156;0;7251;7788;7439;0;0;4176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1039
178;62690;81513;0;8924;9347;5502;0;0;2256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1383
179;60916;56861;0;6395;6005;5473;0;0;1919;0;0;0;0;0;653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;79621;77996;0;6938;7767;8420;0;0;3368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
181;50418;80848;0;11988;8411;4806;0;0;1894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
182;52850;49510;0;12650;7603;7783;0;0;2408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;52063;57539;0;28925;6591;7188;0;0;1957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;62419;48321;0;8100;4957;5736;0;0;2475;0;0;588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
185;66517;72653;0;9325;7990;7193;0;0;2637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
186;80289;67498;0;14557;6584;6955;0;0;2039;0;0;966;0;0;0;0;0;0;0;0;0;359;0;0;0;0;0;0;0;0;0;0
187;76617;76696;0;8882;9421;7275;0;0;2912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1011;0;0;0;0;0;0
188;64837;68835;0;5946;5953;5177;0;0;2541;0;0;0;0;1857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
189;46127;57982;0;3824;7455;32141;0;0;5134;0;0;0;0;2559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
