Wähler;Ungültige;Ungültige;SPD;SPD;CDU;CDU;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;NPD;NPD;REP;REP;FAMILIE;FAMILIE;Die Tierschutzpartei;Die Tierschutzpartei;PBC;PBC;MLPD;MLPD;BüSo;BüSo;BP;BP;PSG;PSG;Volksabstimmung;Volksabstimmung;ZENTRUM;ZENTRUM;ADM;ADM;CM;CM;DKP;DKP;DVU;DVU;DIE VIOLETTEN;DIE VIOLETTEN;FWD;FWD;ödp;ödp;PIRATEN;PIRATEN;RRP;RRP;RENTNER;RENTNER;Freie Union;Freie Union;Übrige;Übrige
;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen
161017;2012;1822;64365;52292;58827;53085;10073;17875;11663;13314;9476;14217;0;0;2029;1882;0;0;0;0;0;1297;838;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155;0;0;0;0;0;181;0;3359;1346;1497;0;0;0;0;388;0
143185;2203;1948;55842;47115;49787;41166;10401;19736;11820;12911;10849;13322;0;0;2283;1982;0;0;0;0;0;1285;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;0;0;0;0;0;130;0;2571;0;820;0;0;0;0;0;0
183314;2258;2005;73215;59493;65573;57144;12982;22004;11976;13908;12533;18936;0;0;2853;2534;0;0;0;0;0;1513;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181;0;0;0;0;0;248;0;3528;1422;1767;0;0;0;0;502;0
167520;2201;1802;64555;54487;60376;52747;10231;18752;11402;13429;14856;17360;0;0;2606;2452;0;0;0;0;0;1405;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152;0;0;0;0;0;171;0;3191;1293;1520;0;0;0;0;0;0
157578;2468;2167;69631;53144;50519;47719;9436;16479;12538;15569;9032;13744;0;0;2791;2490;0;0;0;0;0;1334;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;186;0;0;0;0;0;129;0;2812;1163;1771;0;0;0;0;0;0
139948;1736;1535;53572;39774;47584;40135;7507;15845;10801;13763;12012;19831;0;0;1310;1324;0;0;0;0;0;1114;0;0;118;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;0;0;0;0;0;184;4214;4962;0;1270;0;0;0;0;1094;0
135261;2196;1790;46064;42391;52427;45319;8480;14114;10216;11309;10692;11801;0;0;3023;2606;0;0;0;0;0;1176;415;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;0;0;0;0;0;112;0;2905;1748;1591;0;0;0;0;0;0
156221;2638;2047;60107;50912;54451;46256;12719;21481;14083;14988;9624;12983;0;0;2599;2352;0;0;0;0;0;1247;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;0;0;0;0;0;144;0;2787;0;866;0;0;0;0;0;0
166515;2227;1908;60483;48788;56503;47343;10765;22086;12493;14635;21360;23708;0;0;2323;2072;0;0;0;0;0;1176;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;0;0;0;0;0;195;0;3707;0;724;0;0;0;0;361;0
188189;2557;2099;62588;52387;53255;46284;13587;21021;21226;24883;31564;32556;0;0;2012;1567;0;247;0;0;0;0;0;458;343;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;373;0;0;0;0;0;0;0;4564;0;1617;0;0;0;0;1057;0
